Date,Year,Month,Day,Weekday,Weekday_Num,Global_active_power_kWh
2006-12-16,2006,12,16,Saturday,5,20.152933333333333
2006-12-17,2006,12,17,Sunday,6,56.507666666666665
2006-12-18,2006,12,18,Monday,0,36.73043333333333
2006-12-19,2006,12,19,Tuesday,1,27.7699
2006-12-20,2006,12,20,Wednesday,2,37.095800000000004
2006-12-21,2006,12,21,Thursday,3,28.610400000000002
2006-12-22,2006,12,22,Friday,4,39.0223
2006-12-23,2006,12,23,Saturday,5,79.55643333333335
2006-12-24,2006,12,24,Sunday,6,42.5002
2006-12-25,2006,12,25,Monday,0,45.718666666666664
2006-12-26,2006,12,26,Tuesday,1,65.5685
2006-12-27,2006,12,27,Wednesday,2,25.479333333333333
2006-12-28,2006,12,28,Thursday,3,34.54396666666666
2006-12-29,2006,12,29,Friday,4,52.90653333333333
2006-12-30,2006,12,30,Saturday,5,46.48836666666667
2006-12-31,2006,12,31,Sunday,6,58.236599999999996
2007-01-01,2007,1,1,Monday,0,45.81673333333333
2007-01-02,2007,1,2,Tuesday,1,21.153933333333335
2007-01-03,2007,1,3,Wednesday,2,16.9009
2007-01-04,2007,1,4,Thursday,3,54.32353333333333
2007-01-05,2007,1,5,Friday,4,45.22273333333333
2007-01-06,2007,1,6,Saturday,5,25.139633333333332
2007-01-07,2007,1,7,Sunday,6,40.79366666666667
2007-01-08,2007,1,8,Monday,0,37.356
2007-01-09,2007,1,9,Tuesday,1,31.1509
2007-01-10,2007,1,10,Wednesday,2,35.913333333333334
2007-01-11,2007,1,11,Thursday,3,37.58656666666666
2007-01-12,2007,1,12,Friday,4,24.354933333333335
2007-01-13,2007,1,13,Saturday,5,53.113566666666664
2007-01-14,2007,1,14,Sunday,6,50.130266666666664
2007-01-15,2007,1,15,Monday,0,35.811299999999996
2007-01-16,2007,1,16,Tuesday,1,28.106733333333334
2007-01-17,2007,1,17,Wednesday,2,47.46146666666667
2007-01-18,2007,1,18,Thursday,3,30.3577
2007-01-19,2007,1,19,Friday,4,24.674
2007-01-20,2007,1,20,Saturday,5,52.22886666666667
2007-01-21,2007,1,21,Sunday,6,56.7877
2007-01-22,2007,1,22,Monday,0,36.34156666666667
2007-01-23,2007,1,23,Tuesday,1,29.627333333333336
2007-01-24,2007,1,24,Wednesday,2,49.79756666666666
